,Team,Place_electric,Place_ice,Penalty_electric,Penalty_ice,Presentation Score_electric,Presentation Score_ice,Design Score_electric,Design Score_ice,Acceleration Score_electric,Acceleration Score_ice,Skid Pad Score_electric,Skid Pad Score_ice,Autocross Score_electric,Autocross Score_ice,Endurance Score_electric,Endurance Score_ice,Total Score_electric,Total Score_ice,Penalty_best,Presentation Score_best,Design Score_best,Acceleration Score_best,Skid Pad Score_best,Autocross Score_best,Endurance Score_best,Total Score_best
0,Univ of Washington,2.0,0.0,0.0,0.0,67.7,0.0,110.0,0.0,0.0,0.0,0.0,0.0,107.3,0.0,275.0,0.0,708.9,0.0,0.0,67.7,110.0,0.0,0.0,107.3,275.0,708.9
1,Univ of Pennsylvania,3.0,0.0,0.0,0.0,59.1,0.0,100.0,0.0,0.0,0.0,20.2,0.0,121.8,0.0,208.8,0.0,679.5,0.0,0.0,59.1,100.0,0.0,20.2,121.8,208.8,679.5
2,Univ of Calif - Davis,4.0,0.0,0.0,0.0,64.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.4,0.0,243.0,0.0,650.7,0.0,0.0,64.2,100.0,0.0,0.0,60.4,243.0,650.7
3,Univ of Akron,6.0,8.0,0.0,0.0,44.1,57.1,80.0,117.0,30.9,33.7,47.5,36.9,106.0,91.5,168.5,211.3,600.8,682.4,0.0,57.1,117.0,33.7,47.5,106.0,211.3,682.4
4,Massachusetts Inst of Tech,6.0,0.0,0.0,0.0,72.8,0.0,110.0,0.0,68.8,0.0,51.6,0.0,0.0,0.0,110.9,0.0,584.3,0.0,0.0,72.8,110.0,68.8,51.6,0.0,110.9,584.3
5,Univ of Texas - Austin,7.0,42.0,0.0,0.0,65.9,45.4,110.0,70.0,4.5,59.1,8.4,3.5,77.8,45.8,157.1,25.0,572.7,317.8,0.0,65.9,110.0,59.1,8.4,77.8,157.1,572.7
6,Carnegie Mellon Univ,8.0,0.0,0.0,0.0,71.3,0.0,145.0,0.0,100.0,0.0,75.0,0.0,125.0,0.0,275.0,0.0,981.1,0.0,0.0,71.3,145.0,100.0,75.0,125.0,275.0,981.1
7,Univ of Michigan - Ann Arbor,9.0,4.0,0.0,0.0,71.6,63.7,95.0,110.0,78.9,100.0,56.1,62.9,108.4,125.0,162.4,275.0,711.7,854.2,0.0,71.6,110.0,100.0,62.9,125.0,275.0,854.2
8,Univ of Illinois - Urbana Champaign,10.0,23.0,0.0,0.0,51.7,68.4,90.0,135.0,4.5,85.6,0.0,33.7,71.5,90.5,80.6,135.2,452.8,600.0,0.0,68.4,135.0,85.6,33.7,90.5,135.2,600.0
9,Purdue Univ - W Lafayette,11.0,33.0,0.0,0.0,63.1,54.5,90.0,70.0,0.0,54.8,0.0,33.6,0.0,62.2,141.8,97.5,446.8,490.6,0.0,63.1,90.0,54.8,33.6,62.2,141.8,490.6
10,Univ of Wisconsin - Madison,12.0,70.0,0.0,0.0,49.4,48.5,135.0,70.0,0.0,11.3,0.0,27.5,106.4,76.6,0.0,2.0,355.4,299.5,0.0,49.4,135.0,11.3,27.5,106.4,2.0,355.4
11,Western University,13.0,0.0,0.0,0.0,61.6,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,350.2,0.0,0.0,61.6,140.0,0.0,0.0,0.0,11.0,350.2
12,Université Laval,3.0,0.0,0.0,0.0,46.7,0.0,105.0,0.0,22.7,0.0,44.1,0.0,89.6,0.0,182.0,0.0,670.5,0.0,0.0,46.7,105.0,22.7,44.1,89.6,182.0,670.5
13,Univ of Texas - Arlington,0.0,3.0,0.0,0.0,0.0,65.7,0.0,140.0,0.0,53.4,0.0,51.6,0.0,123.6,0.0,214.8,0.0,765.3,0.0,65.7,140.0,53.4,51.6,123.6,214.8,765.3
14,Missouri University of Science and Tech,0.0,23.0,0.0,0.0,0.0,74.4,0.0,110.0,0.0,81.3,0.0,74.7,0.0,110.5,0.0,228.5,0.0,761.3,0.0,74.4,110.0,81.3,74.7,110.5,228.5,761.3
15,Rutgers Univ,0.0,62.0,0.0,0.0,0.0,56.8,0.0,135.0,0.0,57.8,0.0,75.0,0.0,100.6,0.0,197.4,0.0,748.9,0.0,56.8,135.0,57.8,75.0,100.6,197.4,748.9
16,North Carolina State Univ - Raleigh,0.0,50.0,0.0,0.0,0.0,64.3,0.0,100.0,0.0,85.0,0.0,48.0,0.0,113.6,0.0,199.3,0.0,731.6,0.0,64.3,100.0,85.0,48.0,113.6,199.3,731.6
17,Virginia Tech,0.0,14.0,0.0,0.0,0.0,67.0,0.0,100.0,0.0,51.1,0.0,42.2,0.0,115.7,0.0,254.4,0.0,728.3,0.0,67.0,100.0,51.1,42.2,115.7,254.4,728.3
18,Univ of Nebraska - Lincoln,0.0,46.0,0.0,0.0,0.0,63.7,0.0,127.0,0.0,83.1,0.0,51.4,0.0,112.3,0.0,130.6,0.0,705.5,0.0,63.7,127.0,83.1,51.4,112.3,130.6,705.5
19,Texas A & M Univ - College Station,0.0,10.0,0.0,0.0,0.0,61.5,0.0,90.0,0.0,53.4,0.0,12.9,0.0,104.3,0.0,221.0,0.0,684.8,0.0,61.5,90.0,53.4,12.9,104.3,221.0,684.8
20,Western Washington Univ,0.0,11.0,0.0,0.0,0.0,70.4,0.0,100.0,0.0,45.9,0.0,12.2,0.0,104.9,0.0,240.9,0.0,678.7,0.0,70.4,100.0,45.9,12.2,104.9,240.9,678.7
21,California State Univ - Sacramento,0.0,12.0,0.0,0.0,0.0,56.5,0.0,70.0,0.0,76.4,0.0,5.7,0.0,114.4,0.0,239.8,0.0,674.6,0.0,56.5,70.0,76.4,5.7,114.4,239.8,674.6
22,Univ of Calif - San Diego,0.0,13.0,0.0,0.0,0.0,53.4,0.0,70.0,0.0,58.8,0.0,20.7,0.0,101.2,0.0,217.5,0.0,669.4,0.0,53.4,70.0,58.8,20.7,101.2,217.5,669.4
23,Kettering Univ,0.0,100.0,0.0,0.0,0.0,46.3,0.0,110.0,0.0,32.9,0.0,4.8,0.0,111.6,0.0,196.0,0.0,651.0,0.0,46.3,110.0,32.9,4.8,111.6,196.0,651.0
24,Univ of Delaware,0.0,15.0,0.0,0.0,0.0,71.2,0.0,90.0,0.0,40.3,0.0,3.5,0.0,103.2,0.0,190.0,0.0,619.2,0.0,71.2,90.0,40.3,3.5,103.2,190.0,619.2
25,Univ of Calif - Berkeley,0.0,16.0,0.0,0.0,0.0,74.0,0.0,110.0,0.0,52.7,0.0,41.3,0.0,104.9,0.0,98.8,0.0,614.3,0.0,74.0,110.0,52.7,41.3,104.9,98.8,614.3
26,Iowa State Univ,0.0,17.0,0.0,0.0,0.0,60.6,0.0,105.0,0.0,30.1,0.0,26.1,0.0,90.1,0.0,161.2,0.0,598.6,0.0,60.6,105.0,30.1,26.1,90.1,161.2,598.6
27,Wayne State Univ,0.0,55.0,0.0,0.0,0.0,48.0,0.0,80.0,0.0,77.5,0.0,43.5,0.0,75.2,0.0,114.1,0.0,522.3,0.0,48.0,80.0,77.5,43.5,75.2,114.1,522.3
28,California State Univ - Northridge,0.0,20.0,0.0,0.0,0.0,67.7,0.0,70.0,0.0,71.6,0.0,38.1,0.0,113.9,0.0,12.0,0.0,520.5,0.0,67.7,70.0,71.6,38.1,113.9,12.0,520.5
29,Univ of Kansas - Lawrence,0.0,54.0,0.0,0.0,0.0,57.5,0.0,110.0,0.0,66.9,0.0,13.7,0.0,119.1,0.0,9.0,0.0,486.3,0.0,57.5,110.0,66.9,13.7,119.1,9.0,486.3
30,Univ of Alabama - Tuscaloosa,0.0,22.0,0.0,0.0,0.0,70.3,0.0,130.0,0.0,70.2,0.0,36.9,0.0,111.8,0.0,167.3,0.0,660.8,0.0,70.3,130.0,70.2,36.9,111.8,167.3,660.8
31,Univ of New Mexico,0.0,24.0,0.0,0.0,0.0,52.8,0.0,80.0,0.0,64.7,0.0,3.5,0.0,53.1,0.0,80.7,0.0,466.6,0.0,52.8,80.0,64.7,3.5,53.1,80.7,466.6
32,Auburn Univ,0.0,25.0,0.0,0.0,0.0,68.9,0.0,135.0,0.0,57.4,0.0,11.1,0.0,117.0,0.0,3.0,0.0,456.9,0.0,68.9,135.0,57.4,11.1,117.0,3.0,456.9
33,California State Poly Univ - Pomona,0.0,26.0,0.0,0.0,0.0,61.0,0.0,90.0,0.0,67.8,0.0,41.4,0.0,106.6,0.0,7.0,0.0,439.1,0.0,61.0,90.0,67.8,41.4,106.6,7.0,439.1
34,Kansas State Univ,0.0,38.0,0.0,0.0,0.0,54.0,0.0,110.0,0.0,73.5,0.0,30.6,0.0,95.8,0.0,74.6,0.0,473.4,0.0,54.0,110.0,73.5,30.6,95.8,74.6,473.4
35,San Diego State Univ,0.0,28.0,0.0,0.0,0.0,58.9,0.0,30.0,0.0,13.4,0.0,23.3,0.0,74.0,0.0,99.4,0.0,427.0,0.0,58.9,30.0,13.4,23.3,74.0,99.4,427.0
36,California Polytechnic State Univ-SLO,0.0,29.0,0.0,0.0,0.0,40.2,0.0,110.0,0.0,30.4,0.0,58.9,0.0,113.8,0.0,8.0,0.0,423.2,0.0,40.2,110.0,30.4,58.9,113.8,8.0,423.2
37,Arizona State Univ - Tempe,0.0,30.0,0.0,0.0,0.0,66.7,0.0,70.0,0.0,58.5,0.0,0.0,0.0,70.4,0.0,12.0,0.0,414.8,0.0,66.7,70.0,58.5,0.0,70.4,12.0,414.8
38,California Baptist University,0.0,31.0,0.0,0.0,0.0,60.6,0.0,80.0,0.0,39.2,0.0,3.5,0.0,52.6,0.0,25.0,0.0,407.2,0.0,60.6,80.0,39.2,3.5,52.6,25.0,407.2
39,Univ of Southern California,0.0,32.0,0.0,0.0,0.0,70.7,0.0,90.0,0.0,35.4,0.0,38.1,0.0,97.9,0.0,0.0,0.0,401.6,0.0,70.7,90.0,35.4,38.1,97.9,0.0,401.6
40,Univ of Oklahoma,0.0,33.0,0.0,0.0,0.0,51.0,0.0,70.0,0.0,43.4,0.0,3.6,0.0,58.1,0.0,33.0,0.0,401.0,0.0,51.0,70.0,43.4,3.6,58.1,33.0,401.0
41,Drexel Univ,0.0,35.0,0.0,0.0,0.0,42.9,0.0,40.0,0.0,6.9,0.0,3.5,0.0,78.0,0.0,84.5,0.0,390.8,0.0,42.9,40.0,6.9,3.5,78.0,84.5,390.8
42,Univ of Toledo,0.0,75.0,0.0,0.0,0.0,64.0,0.0,85.0,0.0,20.2,0.0,50.3,0.0,97.5,0.0,8.0,0.0,361.2,0.0,64.0,85.0,20.2,50.3,97.5,8.0,361.2
43,Concordia University,0.0,37.0,0.0,0.0,0.0,54.7,0.0,90.0,0.0,64.3,0.0,3.5,0.0,69.5,0.0,3.0,0.0,351.0,0.0,54.7,90.0,64.3,3.5,69.5,3.0,351.0
44,Michigan State Univ,0.0,40.0,0.0,0.0,0.0,64.4,0.0,110.0,0.0,86.9,0.0,27.9,0.0,83.7,0.0,9.0,0.0,467.0,0.0,64.4,110.0,86.9,27.9,83.7,9.0,467.0
45,Univ of Pittsburgh - Pittsburgh,0.0,69.0,0.0,0.0,0.0,75.0,0.0,95.0,0.0,82.1,0.0,40.1,0.0,89.6,0.0,5.0,0.0,442.8,0.0,75.0,95.0,82.1,40.1,89.6,5.0,442.8
46,Univ of Hawaii - Manoa,0.0,40.0,0.0,0.0,0.0,56.3,0.0,60.0,0.0,15.1,0.0,3.5,0.0,78.6,0.0,11.0,0.0,322.6,0.0,56.3,60.0,15.1,3.5,78.6,11.0,322.6
47,California State Univ - Fullerton,0.0,41.0,0.0,0.0,0.0,49.0,0.0,90.0,0.0,43.9,0.0,3.5,0.0,48.5,0.0,25.0,0.0,321.2,0.0,49.0,90.0,43.9,3.5,48.5,25.0,321.2
48,Univ of Calif - Irvine,0.0,43.0,0.0,0.0,0.0,56.2,0.0,70.0,0.0,0.0,0.0,0.0,0.0,77.5,0.0,9.0,0.0,314.7,0.0,56.2,70.0,0.0,0.0,77.5,9.0,314.7
49,Colorado School of Mines,0.0,44.0,0.0,0.0,0.0,40.6,0.0,60.0,0.0,31.3,0.0,3.5,0.0,93.1,0.0,10.0,0.0,309.0,0.0,40.6,60.0,31.3,3.5,93.1,10.0,309.0
50,Univ of North Texas,0.0,45.0,0.0,0.0,0.0,46.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,91.4,0.0,7.0,0.0,307.7,0.0,46.1,90.0,0.0,0.0,91.4,7.0,307.7
51,Univ of North Dakota,0.0,46.0,0.0,0.0,0.0,58.9,0.0,70.0,0.0,16.1,0.0,0.0,0.0,56.6,0.0,12.0,0.0,282.0,0.0,58.9,70.0,16.1,0.0,56.6,12.0,282.0
52,Univ of Calif - Los Angeles,0.0,47.0,0.0,0.0,0.0,69.1,0.0,80.0,0.0,14.4,0.0,3.5,0.0,6.5,0.0,4.0,0.0,248.1,0.0,69.1,80.0,14.4,3.5,6.5,4.0,248.1
53,California State Univ - Chico,0.0,48.0,0.0,0.0,0.0,51.4,0.0,70.0,0.0,47.5,0.0,0.0,0.0,6.5,0.0,14.0,0.0,247.8,0.0,51.4,70.0,47.5,0.0,6.5,14.0,247.8
54,Univ of Missouri,0.0,50.0,0.0,0.0,0.0,42.3,0.0,70.0,0.0,63.7,0.0,43.5,0.0,79.1,0.0,57.3,0.0,469.9,0.0,42.3,70.0,63.7,43.5,79.1,57.3,469.9
55,Univ of Colorado - Denver,0.0,51.0,0.0,0.0,0.0,58.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,25.0,0.0,225.9,0.0,58.0,70.0,0.0,0.0,6.5,25.0,225.9
56,Univ of Illinois - Chicago,0.0,55.0,0.0,0.0,0.0,72.0,0.0,75.0,0.0,14.7,0.0,3.5,0.0,27.0,0.0,8.0,0.0,221.8,0.0,72.0,75.0,14.7,3.5,27.0,8.0,221.8
57,Univ of Texas - Dallas,0.0,57.0,0.0,0.0,0.0,53.9,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,180.1,0.0,53.9,40.0,0.0,0.0,0.0,25.0,180.1
